YrCaught,YrTagged,Length,Weight,Site,AgeP
1,NA,53,NA,Site 1,0
1,1,80,NA,Site 1,0
1,1,94,NA,Site 1,0
1,1,70,NA,Site 1,0
1,1,134,NA,Site 1,1
1,1,75,NA,Site 1,0
1,1,87,NA,Site 1,0
1,1,82,NA,Site 1,0
1,1,84,NA,Site 1,0
1,1,65,NA,Site 1,0
1,1,70,NA,Site 1,0
1,1,78,NA,Site 1,0
1,1,72,NA,Site 1,0
1,1,134,NA,Site 1,1
1,1,132,NA,Site 1,1
1,1,80,NA,Site 1,0
1,1,74,NA,Site 1,0
1,1,78,NA,Site 1,0
1,1,93,NA,Site 1,0
1,1,91,NA,Site 1,0
1,1,122,NA,Site 1,1
1,1,77,NA,Site 1,0
1,1,73,NA,Site 1,0
1,1,76,NA,Site 1,0
1,1,77,NA,Site 1,0
1,1,72,NA,Site 1,0
1,1,72,NA,Site 1,0
1,1,75,NA,Site 1,0
1,1,77,NA,Site 1,0
1,1,75,NA,Site 1,0
1,1,68,NA,Site 1,0
1,1,74,NA,Site 1,0
1,1,82,NA,Site 1,0
1,1,72,NA,Site 1,0
1,1,70,NA,Site 1,0
1,1,67,NA,Site 1,0
1,1,90,NA,Site 1,0
1,1,76,NA,Site 1,0
1,1,74,NA,Site 1,0
1,1,70,NA,Site 1,0
1,1,81,NA,Site 1,0
1,1,77,NA,Site 1,0
1,1,79,NA,Site 1,0
1,1,85,NA,Site 1,0
1,1,71,NA,Site 1,0
1,1,119,NA,Site 1,1
1,1,81,NA,Site 1,0
1,1,75,NA,Site 1,0
1,1,82,NA,Site 1,0
1,1,80,NA,Site 1,0
1,1,130,NA,Site 1,1
1,1,89,NA,Site 1,0
1,1,90,NA,Site 1,0
1,1,76,NA,Site 1,0
1,1,70,NA,Site 1,0
1,1,80,NA,Site 1,0
1,1,80,NA,Site 1,0
1,1,77,NA,Site 1,0
1,1,70,NA,Site 1,0
1,1,77,NA,Site 1,0
1,1,182,NA,Site 1,3
1,1,134,NA,Site 1,1
1,1,130,NA,Site 1,1
1,1,131,NA,Site 1,1
1,1,80,NA,Site 1,0
1,1,141,NA,Site 1,2
1,1,130,NA,Site 1,1
1,1,77,NA,Site 1,0
1,1,100,NA,Site 1,0
1,1,90,NA,Site 1,0
1,1,84,NA,Site 1,0
1,1,124,NA,Site 1,1
1,1,89,NA,Site 1,0
